participant,session,forced,wadSlope,succOddsSlope,pressesSlope,wadMeanRecent,pressesMeanRecent,successRateRecent,wadDiff,succDiff,surpBeta0,surpWadMu,surpWadSigma
Alex,1,True,-16.027957508893707,0.0,1.393939393939395,450.77725012198806,14.6,0.0,0.0,0.0,-2.172933481695625,1.8037366261025574,1.6593319549477217
Amaury,1,True,-1.5524973338118084,0.0218486273135984,-0.0594758064516131,162.46800675044133,33.75,0.4375,0.4443622859012919,-0.0141129032258064,-1.4910537425631558,0.8203638927140808,1.0573135072206192
Arkemousse,1,False,15.336889143656418,0.0,-0.7666666666666666,418.8173782203674,9.2,0.0,17.00111683184906,0.0,-1.2691050066562262,0.8689776886201606,1.2156565172815517
Arkemousse,1,True,-1.8268629579160212,0.1512573919503721,0.3784877995404305,297.1104781493334,22.63157894736842,0.1052631578947368,0.0,0.0,-1.2691050066562262,0.8689776886201606,1.2156565172815517
Asher,1,True,1.441825654515865,0.0554087085490888,0.0423344947735186,354.7092646863035,17.857142857142858,0.0476190476190476,-2.6565897061090595,-0.0023809523809523,-1.7592120301722587,1.281412558241675,0.8926258894355403
Funibus,1,True,-1.2074025182455896,0.0,0.2443602856177166,317.62951070582363,16.77777777777778,0.0,0.0,0.0,-1.7856326745031676,1.0505395000545574,0.871020462487268
Funibus,2,True,-2.9818832517727447,0.0676346190730823,-0.1228715728715726,176.03731849128488,22.75,0.3214285714285714,0.1383597519923967,-0.0119047619047618,-1.6658202914406743,0.946345492497431,0.8852844436199481
Funibus,3,True,-0.8175590282900368,0.0035274575795819,-0.0278917503273682,141.3684021028434,28.16,0.56,-0.5829499911577045,-0.0233333333333333,0.010125205033790347,0.5838803332625729,0.8052274973329637
GMFlash,1,True,0.1877171525502047,0.0,-0.0091351646572962,381.3497579536562,27.23076923076923,0.0,0.0,0.0,-3.6899346210436663,0.9487238431126341,0.83281991247223
Isabelle,1,True,-0.9295946354403776,0.0,0.0935537190082644,425.6285744469753,3.272727272727273,0.0,16.31568473521105,0.0,-2.0055992502949573,0.9929248188187321,1.096715172930091
Jahier,1,True,-0.7571735336574157,0.0,0.2478999086106137,294.66802350266045,19.227272727272727,0.0,0.0,0.0,-2.508934880253552,0.9967711670118524,0.8055121394566773
Jahier,2,True,0.4853733882927349,0.0655859703621938,0.6247779111644662,312.76198335611423,38.84,0.04,0.0,0.0,-0.34191583283233495,0.754875597570765,0.920033823258166
Jahier,3,True,-2.742081010025295,0.1076239498483662,0.6706787330316744,241.5773578305338,35.84615384615385,0.1153846153846153,15.778402979514963,-0.0046153846153846,-0.15176969185515415,0.9803470354982936,0.7199247605995198
Joris104,1,True,-3.70301170288698,0.0707175754446484,0.6406242496998805,152.19374375479663,53.04,0.68,0.0,0.0,-1.1065142063272282,1.2691244099748247,1.4207332653584046
Louis,1,True,-2.5395184854906265,0.0632547045954088,-0.6620403059097753,116.71540609099225,27.95833333333333,0.6666666666666666,0.0,0.0,-0.4255797263531905,1.0514424415275774,1.0611519216387426
Louis,2,True,0.1953888244628426,0.0044281760388759,-0.1807995227692283,144.72197050166048,21.44117647058824,0.6176470588235294,0.7685554546225148,-0.0187165775401069,0.018643125585436172,0.7348625580947833,0.8614032990483106
Louis,3,True,-0.2575374735074019,0.0082680887300667,-0.0777514496522762,132.0290760791748,52.2,0.7,0.0,0.0,0.06294899724553617,0.9277505694271709,1.1862589097644625
LuciaMarta,1,True,-0.2327615446042696,0.0,-0.0416828934045413,381.2000622993733,16.84,0.0,-1.6807210841172378,0.0,-1.8806568542200817,0.9829271824618074,0.5266569814010813
LuciaMarta,2,True,0.0324012180913604,0.0,0.0532598710185223,338.84434614458866,13.88095238095238,0.0,0.0,0.0,-0.22406837932822937,0.7437262327535182,1.0777412176655314
Na,1,False,-5.289303509498506,0.0,-0.2563213703099506,376.6245461385088,9.0,0.0,47.98012542441501,0.0,-2.1628031274921065,0.7920929310302733,0.7474358083950434
Na,1,True,-0.7693971795256834,0.0,0.1273983686139823,378.8154619414356,13.568181818181818,0.0,0.0,0.0,-2.1628031274921065,0.7920929310302733,0.7474358083950434
Na,2,False,48.54234760147104,0.0,-5.600000000000011,286.3709012716666,49.333333333333336,0.0,0.0,0.0,-0.17265327783610085,0.7909681687260431,1.1415665474078165
Na,2,True,-2.4576888856144468,0.0,0.5995256969371012,252.7287744888661,38.51724137931034,0.0,0.0,0.0,-0.17265327783610085,0.7909681687260431,1.1415665474078165
QuentinM,1,True,-0.8639083842584986,0.0395835405059866,4.980924992971055,216.8330518319244,298.2162162162162,0.1621621621621621,-0.3613441771546206,-0.0045045045045044,-1.1918494330099914,0.9813427413452933,0.6095367421136393
QuentinM,2,True,-0.4870006833230995,0.0545654122791275,0.0927946967859659,118.78875695987868,33.97222222222222,0.8611111111111112,0.0,0.0,-0.23113016497299643,1.0845379934052501,1.085537664810817
QuentinM,3,True,0.7434079673171624,-0.0204584404841121,-0.1051215662324148,146.14258187365778,33.23529411764706,0.8235294117647058,0.0,0.0,0.1445361033656812,0.9361840140161855,0.655436689583943
Romain,1,True,-11.13362468965694,0.1212053582220571,-0.9011857707509892,104.61114890921112,40.91666666666666,0.5833333333333334,-5.338810794145402,0.0378787878787879,0.730148541866604,0.6814629671046706,1.082992541410838
SoufianG,1,False,20.44069860092061,-1.313374148196679e-16,-2.2000000000000006,184.78196030473555,41.333333333333336,0.6666666666666666,-25.472013554264407,0.1666666666666666,-0.8045948817854387,0.7813748267969389,1.541469461352506
SoufianG,1,True,-7.111650019282553,0.1900242071892113,2.005811965811968,230.76528333745048,78.15384615384616,0.2307692307692307,0.0,0.0,-0.8045948817854387,0.7813748267969389,1.541469461352506
SoufianG,2,True,-2.2889056840228017,0.0318921076740837,-0.1185770750988148,155.2545044344799,37.16666666666666,0.5,1.726340857559535,-0.0454545454545454,-0.1742498587808184,0.6617761224211307,0.9274223926541417
SoufianG,3,True,-1.317814559641778,0.076984341397406,0.2055335968379439,133.11202593304054,39.75,0.75,1.066495224031314,0.0227272727272727,0.02903350805675988,1.1677167660292178,1.014872941768074
TristanG,1,False,-34.29276818159134,0.0,-15.000000000000009,113.80404609969308,57.5,1.0,2.104984615132849,0.0,0.5635989626639769,1.1899683027688164,1.0033370239589912
TristanG,1,True,-7.37202270460876,0.2371634308499468,0.8580198019801977,179.490143372902,50.0,0.5,0.0,0.0,0.5635989626639769,1.1899683027688164,1.0033370239589912
TristanG,2,True,-0.5208225113451057,-0.0440628860875737,-0.3083426028921019,168.58477653145985,27.0,0.6,0.0,0.0,-0.17232068642902174,0.7042913985757894,1.0165625188738008
acvetkov,1,True,-2.7049813627616337,0.0529925077342016,-0.0565276828434725,153.8962665906613,34.75,0.2857142857142857,0.0,0.0,-0.9521898500416778,1.3410376209535895,0.7744615686913076
acvetkov,2,True,0.7021241186494304,0.0038587294320259,-0.3310035729956742,127.99005005366826,29.875,0.7083333333333334,0.0,0.0,-0.19215562050315094,0.8440078098137536,1.3823030241107752
acvetkov,3,True,-0.0414241725709129,0.1004838854750894,0.0585988064748107,108.94686681017266,26.96969696969697,1.0,0.0,0.0,0.19946428209027037,0.9941205156508308,1.3921371104005766
atalon,1,False,-1.7600357898697148,0.0,-0.1166666666666664,333.6767257884773,13.0,0.0,-27.119111479608197,0.0,-2.717004707938398,1.7244913740502947,0.718907105747634
atalon,1,True,-2.24625249242629,0.0,0.0838607837134547,331.9229480133383,12.862068965517242,0.0,0.0,0.0,-2.717004707938398,1.7244913740502947,0.718907105747634
atalon,2,False,4.741410774523963,0.0,0.4727272727272713,338.11966580520584,21.0,0.0,-22.249160363078943,0.0,-0.10211517626904344,1.034405075308932,0.9018766548926649
atalon,2,True,-0.4078540133416686,0.0,-0.5231779666399892,355.2909201008194,16.736842105263158,0.0,-7.45752356166895,0.0,-0.10211517626904344,1.034405075308932,0.9018766548926649
bois,1,True,-2.245806459057646,0.0665972298995136,-0.4311979648473634,134.3851667864074,35.125,0.8333333333333334,1.077939235741269,0.0072463768115942,-0.9503226905728596,1.1343337824560733,0.8391567115647555
bois,2,True,-0.419275495869761,0.0411206826402455,0.0158925016589251,119.74372443853328,28.90909090909091,0.7878787878787878,-0.8373664132511749,-0.0246212121212121,0.38171897469068716,0.7152903427770645,1.6636743730589725
bois,3,True,-0.3765384008863539,0.0229707044704143,-0.0729559731608239,105.16688977266718,23.0,0.9736842105263158,0.0,0.0,0.30358961800177403,1.254240721239544,0.7933005964719266
borzoi,1,True,-1.443401113483079,0.0,0.0499632510565322,311.11633179371097,10.620689655172416,0.0,0.4732988349301763,0.0,-2.4634570250092325,0.6669630933370263,1.2775900718734963
cecilepierrot,1,True,-3.12536727824112,26.089293298839777,0.1500975148556002,273.4727113756337,14.708333333333334,0.0416666666666666,2.238075293929853,-0.0018115942028985,0.37199118026093647,0.9903016784225774,0.8994446252959883
cecilepierrot,2,False,-9.649017064642235,0.0,11.999999999999996,233.8193144942126,60.0,0.0,-44.21472104961131,0.0,-0.07780894333946768,0.7536877547654895,1.3374183922377418
cecilepierrot,2,True,-1.3167630500750145,0.220269879306764,0.9689327876930984,315.7999699673496,40.53846153846154,0.0769230769230769,0.0,0.0,-0.07780894333946768,0.7536877547654895,1.3374183922377418
corinne,1,False,-5.457877871687122,0.0,0.7458563535911603,360.83262250407887,14.285714285714286,0.0,30.065519069350277,0.0,-1.7858357800399913,0.9392940255313145,1.1376277895149591
corinne,1,True,-0.5323183444113582,0.0,0.075357512771062,431.1661454209554,7.552631578947368,0.0,1.0644879522729411,0.0,-1.7858357800399913,0.9392940255313145,1.1376277895149591
corinne,2,False,-2.953628902681608,0.0,-5.2622950819672125,263.0334009941402,16.75,0.0,-27.13739855594963,0.0,-0.26388463434961135,0.9267933243397852,0.9272537221003877
corinne,2,True,-1.2899118679841644,-0.0256495297516807,0.0049169850238948,298.5711140233008,26.761904761904763,0.0,0.0,0.0,-0.26388463434961135,0.9267933243397852,0.9272537221003877
cpeyratv,1,True,-0.1671478487695009,0.0,0.0347232432983588,431.39857172069503,9.452380952380953,0.0,0.0,0.0,-2.312600138058633,0.9338843978938287,0.9684074837347488
cpeyratv,2,True,-3.782402132925375,0.0,-0.0857843137254902,404.650708018936,7.777777777777778,0.0,3.177597317468667,0.0,-0.03698770485777759,0.9884990436257038,1.0128915960099762
cpu,1,False,71.84231321863861,0.0,-7.599999999999999,494.8840842278983,4.5,0.0,0.0,0.0,-1.4438356474108476,0.8911680199295431,2.086270201064795
cpu,1,True,-0.2934488070270816,0.09607653926204,0.4689744671187101,287.9244127261641,27.444444444444443,0.1111111111111111,0.0,0.0,-1.4438356474108476,0.8911680199295431,2.086270201064795
cycy,1,True,-4.634475058858272,0.0,1.1394477791116453,283.7455150408503,32.08,0.0,0.0,0.0,-1.6694804553897236,1.3444385318077492,1.890819425253499
hlecomte,1,True,-1.2314660317904351,0.049017745128119,-0.0434607321399777,274.1700568028939,24.703703703703702,0.074074074074074,-5.017261202579334,-0.0028490028490028,-2.7241682834934604,0.8630114030804356,0.8683777015865505
isleynorth,1,True,-2.3384722704821805,0.0582657099253903,0.3148124090771138,212.18367569917328,27.15,0.175,8.160354233267412,-0.0044871794871794,0.8331983840290538,0.7040320372022816,0.8914943722515075
mf,1,True,-13.749490688387624,0.0,1.0660216277746155,347.50937997450154,19.7,0.0,0.0,0.0,-1.6740808124824984,0.947638438351016,1.2312476069990022
mleclair,1,False,27.331559466439543,0.0,-10.799999999999994,227.94844447531025,22.33333333333333,0.0,-35.47389301717186,0.0,-1.4229781851730423,0.8653065430212988,1.304671276706494
mleclair,1,True,-4.251288895364242,0.0,0.6363977485928702,299.3906302714751,24.8,0.0,0.0,0.0,-1.4229781851730423,0.8653065430212988,1.304671276706494
mleclair,2,False,-7.952384266334022,-0.3712207229660931,-1.9090909090909107,258.29067037407265,7.833333333333333,0.1666666666666666,-27.801501162217505,0.1666666666666666,-0.7397464745355983,0.7461633240951867,1.3046111151345048
mleclair,2,True,0.7262419250253349,-0.0193927398752838,-0.4024630541871918,207.26972196541809,25.785714285714285,0.3571428571428571,0.0,0.0,-0.7397464745355983,0.7461633240951867,1.3046111151345048
mleclair,3,False,4.581100121889179,0.0,-2.333333333333334,227.7784158339188,11.6,0.0,-0.7093569560154549,0.0,-0.06608716509702736,0.5669032023814731,0.9033452060640624
mleclair,3,True,-1.6314657796106842,0.004807794758292,-0.074068796727797,214.1293156796049,17.095238095238095,0.1904761904761904,-3.2053558630561554,-0.0095238095238095,-0.06608716509702736,0.5669032023814731,0.9033452060640624
nkhelouf,1,False,-8.00955513781318,0.3111930660961179,-3.071428571428572,134.61645977256617,22.5,0.25,-5.985151933380195,-0.0833333333333333,-1.183007097051516,1.538652543600592,1.6609505087827856
nkhelouf,1,True,-3.186770993662618,0.0317987755605856,-1.0162464985994393,229.14948046975147,90.0,0.0555555555555555,2.931686474078049,-0.0032679738562091,-1.183007097051516,1.538652543600592,1.6609505087827856
valentin-d-richar,1,True,0.8642969859912717,0.0,0.1284260975720036,393.4434801918695,14.545454545454543,0.0,0.0,0.0,-1.8598814193912236,1.1456482818787561,1.1264586908232403
vrios,1,True,-0.18323646854053,0.0,0.1435939793511003,351.4369247638844,19.761904761904763,0.0,3.1601642575172946,0.0,-2.019737190181713,0.7853066259621464,1.0036412956899168
