id,instrument,component,group,handle,order,prompt,prompt_fr,prompt_en,reverse,min_val,max_val,step,annotations,annotations_fr,annotations_en,type,widget,help_text,help_text_fr,help_text_en,validate,initial
169,mot-UEQ,User Experience,2,mot-ueq-13,13,Obstructive or supportive?,Rigide ou Facilitant ?,Obstructive or supportive?,True,1,7,1,Obstructive~Supportive,Rigide~Facilitant,Obstructive~Supportive,integer,custom-polar,,,,,
168,mot-UEQ,User Experience,2,mot-ueq-12,12,Inventive or conventional?,Original ou Conventionnel ?,Inventive or conventional?,True,1,7,1,Inventive~Conventional,Original~Conventionnel,Inventive~Conventional,integer,custom-polar,,,,,
167,mot-UEQ,User Experience,2,mot-ueq-11,11,Fast or slow?,Rapide ou Lent ?,Fast or slow?,True,1,7,1,Fast~Slow,Rapide~Lent,Fast~Slow,integer,custom-polar,,,,,
166,mot-UEQ,User Experience,2,mot-ueq-10,10,Unpredictable or predictable?,Imprévisible ou Prévisible ?,Unpredictable or predictable?,True,1,7,1,Unpredictable~Predictable,Imprévisible~Prévisible,Unpredictable~Predictable,integer,custom-polar,,,,,
165,mot-UEQ,User Experience,2,mot-ueq-9,9,Evaluate your overall experience of using our online experimentation platform: Flowers Online Lab,Évaluez votre expérience globale de votre utilisation de notre plateforme d'expérimentation en ligne : Flowers Online Lab,Evaluate your overall experience of using our online experimentation platform: Flowers Online Lab,True,1,7,1,Unpredictable~Predictable,Imprévisible~Prévisible,Unpredictable~Predictable,integer,custom-header,,,,,
164,mot-UEQ,User Experience,1,mot-ueq-8,8,Not interesting or interesting?,Inintéressant ou Intéressant ?,Not interesting or interesting?,True,1,7,1,Not interesting~Interesting,Inintéressant~Intéressant,Not interesting~Interesting,integer,custom-polar,,,,,
163,mot-UEQ,User Experience,1,mot-ueq-7,7,Boring or exciting?,Ennuyeux ou Captivant ?,Boring or exciting?,True,1,7,1,Boring~Exciting,Ennuyeux~Captivant,Boring~Exciting,integer,custom-polar,,,,,
162,mot-UEQ,User Experience,1,mot-ueq-6,6,Valuable or inferior?,Apporte de la valeur ou Peu de valeur ajoutée? ,Valuable or inferior?,True,1,7,1,Valuable~Inferior,Apporte de la valeur~Peu de valeur ajoutée ,Valuable~Inferior,integer,custom-polar,,,,,
161,mot-UEQ,User Experience,1,mot-ueq-5,5,Easy to learn or difficult to learn?,Appropriation simple ou Appropriation compliquée ?,Easy to learn or difficult to learn?,True,1,7,1,Easy to learn~Difficult to learn,Appropriation simple~Appropriation compliquée,Easy to learn~Difficult to learn,integer,custom-polar,,,,,
160,mot-UEQ,User Experience,1,mot-ueq-4,4,Creative or dull?,Moderne ou Sans fantaisie ?,Creative or dull?,True,1,7,1,Creative~Dull,Moderne~Sans fantaisie,Creative~Dull,integer,custom-polar,,,,,
159,mot-UEQ,User Experience,1,mot-ueq-3,3,Not understandable or understandable?,Incompréhensible ou Compréhensible ?,Not understandable or understandable?,True,1,7,1,Not understandable~Understandable,Incompréhensible~Compréhensible,Not understandable~Understandable,integer,custom-polar,,,,,
158,mot-UEQ,User Experience,1,mot-ueq-2,2,Annoying or enjoyable?,Agacant ou Agréable ?,Annoying or enjoyable?,True,1,7,1,Annoying~Enjoyable,Agacant~Agréable,Annoying~Enjoyable,integer,custom-polar,,,,,
157,mot-UEQ,User Experience,1,mot-ueq-1,1,Evaluate your overall experience of using our online experimentation platform: Flowers Online Lab,Évaluez votre expérience globale de votre utilisation de notre plateforme d'expérimentation en ligne : Flowers Online Lab,Evaluate your overall experience of using our online experimentation platform: Flowers Online Lab,True,1,7,1,Annoying~Enjoyable,Agacant~Agréable,Annoying~Enjoyable,integer,custom-header,,,,,
156,mot-NASA-TLX,Frustration,1,mot-tlx-6,6,"How insecure, discouraged, irritated, stressed, and annoyed versus secure, gratified, content, relaxed, and complacent did you feel during the task?",Pendant l’exécution des tâches; vous êtes-vous senti satisfait et détendu (niveau de frustration faible) ou plutôt découragé et stressé (niveau de frustration élevé) ?,"How insecure, discouraged, irritated, stressed, and annoyed versus secure, gratified, content, relaxed, and complacent did you feel during the task?",False,1,20,1,Very Low~Very High,Trés faible~Trés élevé,Very Low~Very High,integer,custom-polar,,,,,
155,mot-NASA-TLX,Effort,1,mot-tlx-5,5,How hard did you have to work (mentally and physically) to accomplish your level of performance?,Est-ce que ces tâches vous ont demandées beaucoup d'effort (mentalement et physiquement) ?,How hard did you have to work (mentally and physically) to accomplish your level of performance?,False,1,20,1,Very Low~Very High,Trés faible~Trés élevé,Very Low~Very High,integer,custom-polar,,,,,
154,mot-NASA-TLX,Performance,1,mot-tlx-4,4,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your preformance in accomplishing these goals?,A quel point pensez-vous avoir atteint les objectifs déterminés par les tâches ?,How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? How satisfied were you with your preformance in accomplishing these goals?,False,1,20,1,Perfect~Failure,Trés faible~Trés élevé,Perfect~Failure,integer,custom-polar,,,,,
153,mot-NASA-TLX,Temporal demand,1,mot-tlx-3,3,How much time pressure did you feel due to the rate or pace at which the task or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,Le temps donné pour réaliser les tâches était-il une source de pression pour vous ? Etait-ce un rythme lent et tranquille (faible) ou rapide et précipité (élevé) ?,How much time pressure did you feel due to the rate or pace at which the task or task elements occurred? Was the pace slow and leisurely or rapid and frantic?,False,1,20,1,Very Low~Very High,Trés faible~Trés élevé,Very Low~Very High,integer,custom-polar,,,,,
152,mot-NASA-TLX,Physical demand,1,mot-tlx-2,2,"How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?","Les tâches pratiquées ont elles demandées beaucoup d'effort physique (ex. pousser, porter, tourner, marcher, activer, etc.) ? Les tâches vous ont elle parues faciles et peu fatigantes (faibles) ou pénibles et fatigantes (élevées) ?","How much physical activity was required (e.g., pushing, pulling, turning, controlling, activating, etc.)? Was the task easy or demanding, slow or brisk, slack or strenuous, restful or laborious?",False,1,20,1,Very Low~Very High,Trés faible~Trés élevée,Very Low~Very High,integer,custom-polar,,,,,
151,mot-NASA-TLX,Mental Demand,1,mot-tlx-1,1,"How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)? Was the task easy or demanding, simple or complex, exacting or forgiving?","Les tâches pratiquées ont elles demandées beaucoup de réflexion (ex. réflexion, calcul, mémorisation, décision, recherche, ...) ? Les tâches vous ont-elle parues simples, nécessitant peu d’attention (faibles) ou complexe, nécessitant beaucoup d’attention (élevées) ?","How much mental and perceptual activity was required (e.g., thinking, deciding, calculating, remembering, looking, searching, etc.)? Was the task easy or demanding, simple or complex, exacting or forgiving?",False,1,20,1,Very Low~Very High,Trés faible~Trés élevée,Very Low~Very High,integer,custom-polar,,,,,
150,VGQ,game_habit,2,vgq-8,8,Other that don't fit into any of the categories,Autres jeux qui ne correspondent à aucune catégories précédentes,Other that don't fit into any of the categories,False,1,5,1,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,Jamais~Moins d'une heure~Entre 1 et 3 heures~Entre 3 et 5 heures~Plus de 10 heures,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,integer,custom-likert,"ex: Phone games, Browser games, Fighting games, etc","ex: Jeux mobiles, jeux sur navigateurs, jeux de combats","ex: Phone games, Browser games, Fighting games, etc",,
149,VGQ,game_habit,2,vgq-7,7,Music games,Jeux de musique,Music games,False,1,5,1,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,Jamais~Moins d'une heure~Entre 1 et 3 heures~Entre 3 et 5 heures~Plus de 10 heures,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,integer,custom-likert,"ex: Guitar Hero, DDR, Rock Band","ex: Guitar Hero, DDR, Rock Band","ex: Guitar Hero, DDR, Rock Band",,
148,VGQ,game_habit,2,vgq-6,6,Turn-based strategy / Life simulation / Puzzle ,Jeux à base de tours stratégique / Simulation de vie / Puzzle ,Turn-based strategy / Life simulation / Puzzle ,False,1,5,1,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,Jamais~Moins d'une heure~Entre 1 et 3 heures~Entre 3 et 5 heures~Plus de 10 heures,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,integer,custom-likert,"ex: Civilization, Hearthstone, The Sims, Restaurant Empire, Puzzle Quest, Bejeweled, Solitaire, Candy Crush","ex: Civilization, Hearthstone, The Sims, Restaurant Empire, Puzzle Quest, Bejeweled, Solitaire, Candy Crush","ex: Civilization, Hearthstone, The Sims, Restaurant Empire, Puzzle Quest, Bejeweled, Solitaire, Candy Crush",,
147,VGQ,game_habit,2,vgq-5,5,Turn-based / Non-action role playing / Fantasy ,Jeux à base de tours / Jeu de rôle sans action / Fantasy ,Turn-based / Non-action role playing / Fantasy ,False,1,5,1,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,Jamais~Moins d'une heure~Entre 1 et 3 heures~Entre 3 et 5 heures~Plus de 10 heures,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,integer,custom-likert,"ex: World of Warcraft, Final Fantasy, Fable, Pokemon, Dragon Age","ex: World of Warcraft, Final Fantasy, Fable, Pokemon, Dragon Age","ex: World of Warcraft, Final Fantasy, Fable, Pokemon, Dragon Age",,
146,VGQ,game_habit,1,vgq-4,4,Real time strategy / MOBA ,Stratégie en temps réel / MOBA ,Real time strategy / MOBA ,False,1,5,1,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,Jamais~Moins d'une heure~Entre 1 et 3 heures~Entre 3 et 5 heures~Plus de 10 heures,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,integer,custom-likert,"ex: Starcraft, Warcraft I, II & III, DotA, Command & Conquer, League of Legends, Age of Empire","ex: Starcraft, Warcraft I, II & III, DotA, Command & Conquer, League of Legends, Age of Empire","ex: Starcraft, Warcraft I, II & III, DotA, Command & Conquer, League of Legends, Age of Empire",,
145,VGQ,game_habit,1,vgq-3,3,Sport / Driving,Sport / Pilotage,Sport / Driving,False,1,5,1,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,Jamais~Moins d'une heure~Entre 1 et 3 heures~Entre 3 et 5 heures~Plus de 10 heures,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,integer,custom-likert,"ex: Fifa, NHL, Mario Kart, Need for Speed, Forza","ex: Fifa, NHL, Mario Kart, Need for Speed, Forza","ex: Fifa, NHL, Mario Kart, Need for Speed, Forza",,
144,VGQ,game_habit,1,vgq-2,2,Action - RPG / Adventure,Action - RPG / Aventure,Action - RPG / Adventure,False,1,5,1,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,Jamais~Moins d'une heure~Entre 1 et 3 heures~Entre 3 et 5 heures~Plus de 10 heures,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,integer,custom-likert,"ex :The Witcher, Mass Effect, Fallout 4, Skyrim, GTA, Assassin’s Creed, Tomb Raider, The Last of Us","ex :The Witcher, Mass Effect, Fallout 4, Skyrim, GTA, Assassin’s Creed, Tomb Raider, The Last of Us","ex :The Witcher, Mass Effect, Fallout 4, Skyrim, GTA, Assassin’s Creed, Tomb Raider, The Last of Us",,
143,VGQ,game_habit,1,vgq-1,1,First/Third Person Shooter (FPS/TPS) ,First/Third Person Shooter (FPS/TPS) ,First/Third Person Shooter (FPS/TPS) ,False,1,5,1,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,Jamais~Moins d'une heure~Entre 1 et 3 heures~Entre 3 et 5 heures~Plus de 10 heures,never~less than 1 hour~between 1 and 3 hours~between 3 and 5 hours~more than 10 hours,integer,custom-likert,"ex: Call Of Duty, Halo, Battlefield, Half-Life, Overwatch, Counterstrike","ex: Call Of Duty, Halo, Battlefield, Half-Life, Overwatch, Counterstrike","ex: Call Of Duty, Halo, Battlefield, Half-Life, Overwatch, Counterstrike",,
142,get_mot_profil,long_term,3,prof-mot-11,12,How many years did you study?,Combien d'années avez-vous étudié?,How many years did you study?,False,0,1,1,12 or less (secondary)~ 12 to 15 (undergraduate)~ 15 to 18 (graduate)~ more than 18 (doctoral),12 ou moins (Bac ou avant)~ 12 à 15 (Bac à Bac+3)~ 15 à 18 (Bac+5 à Bac+8)~ plus de 18,12 or less (secondary)~ 12 to 15 (undergraduate)~ 15 to 18 (graduate)~ more than 18 (doctoral),integer,custom-likert,,,,,
141,get_mot_profil,long_term,2,prof-mot-10,11,Have you ever follow an online course ?,Avez-vous déjà suivi un cours en ligne ?,Have you ever follow an online course ?,False,0,1,1,yes~no,oui~non,yes~no,boolean,custom-select,,,,,
140,get_mot_profil,long_term,2,prof-mot-9,10,Have you ever follow a training of attention?,Avez-vous déjà suivi un entraînement de l'attention ?,Have you ever follow a training of attention?,False,0,1,1,yes~no,oui~non,yes~no,boolean,custom-select,,,,,
139,get_mot_profil,long_term,2,prof-mot-8,9,How often do you drive ?,A quelle fréquence conduisez-vous ?,How often do you drive ?,False,1,100,1,Never~Rarely~Occasionally~Often~Very often,Jamais~Rarement~De temps en temps~Souvent~Très souvent,Never~Rarely~Occasionally~Often~Very often,string,custom-likert,,,,,
138,get_mot_profil,long_term,2,prof-mot-7,8,When did you start driving?,Depuis quand conduisez-vous ?,When did you start driving?,False,1,4,1,Never~Less than a year~Between 1 and 5 years~More than 5 years,Jamais~Moins d'un an~Entre 1 et 5 ans~Plus de 5 ans,Never~Less than a year~Between 1 and 5 years~More than 5 years,string,custom-likert,,,,,
137,get_mot_profil,long_term,2,prof-mot-6,7,Driving licence,Permis de conduire,Driving licence,False,0,1,1,yes~no,oui~non,yes~no,boolean,custom-select,,,,,
136,get_mot_profil,long_term,1,prof-mot-5,6,A quelle(s) catégorie(s) de jeux jouez-vous ?,A quelle(s) catégorie(s) de jeux jouez-vous ?,A quelle(s) catégorie(s) de jeux jouez-vous ?,False,0,4,1,FPS(ex:Call of Duty)~Action(ex:The last of us)~Sport(ex: Fifa)~MMO (ex:World of warcraft)~RPG (ex:Final Fantasy),FPS(ex:Call of Duty)~Action(ex:The last of us)~Sport(ex: Fifa)~MMO (ex:World of warcraft)~RPG (ex:Final Fantasy),FPS(ex:Call of Duty)~Action(ex:The last of us)~Sport(ex: Fifa)~MMO (ex:World of warcraft)~RPG (ex:Final Fantasy),string,custom-categories,,,,,
135,get_mot_profil,long_term,1,prof-mot-4,5,Fréquence de la pratique des jeux vidéos,Fréquence de la pratique des jeux vidéos,Fréquence de la pratique des jeux vidéos,False,1,5,1,Jamais~Rarement~De temps en temps~Souvent~Très souvent,Jamais~Rarement~De temps en temps~Souvent~Très souvent,Jamais~Rarement~De temps en temps~Souvent~Très souvent,integer,custom-likert,,,,,
